Fecha Clase,Hora,Duracion Minutos,Alumno,Profesor,Idioma,Lugar,Ubicacion,Pago,Precio,Moneda,Temas
01-06-2023,9,55,NORMAN LOBREGAT,MARGIE OSPINA,ESPAÑOL,TEAMS,Mazanec Group,TARJETA,26,EURO,30335
30-05-2023,18,57,MURRAY VICARIO,MARGO ALLEMOND,FRANCES,ZOOM,Eastmond Cosmetics,EFECTIVO,28,DOLAR,
29-04-2023,12,56,EMMETT GOLZ,PATTI CHIEFFO,ALEMAN,TEAMS,Chestand Group,TARJETA,21,EURO,
25-04-2023,15,45,JULI PODESTA,MARGIE OSPINA,ESPAÑOL,TEAMS,Heare and Sons,TRANSFERENCIA,23,EURO,
18-04-2023,8,47,HEE STANALAND,MARGIE OSPINA,ESPAÑOL,TEAMS,Binette International,TARJETA,28,EURO,20434
12-04-2023,15,51,PARTICIA SUKHU,MARGIE OSPINA,ESPAÑOL,TEAMS,Muehl Studios,BIZUM,27,EURO,
07-04-2023,17,54,GRAZYNA WIEDYK,PAUL KELCOURSE,ESPAÑOL,DOMICILIO,Grogan Pharmaceuticals,CUPON,26,DOLAR,
21-03-2023,16,47,SON MCLAGAN,PATRICE BECH,ITALIANO,ZOOM,Wallentine Pharmaceuticals,CUPON,24,DOLAR,
19-02-2023,12,55,ALEX BINETTE,PAULINA KRETLOW,FRANCES,DOMICILIO,Halpainy Corporation,PAYPAL,22,DOLAR,
16-02-2023,9,52,VICTOR ACKEN,PATTI CHIEFFO,ALEMAN,TEAMS,Namdar Studios,BIZUM,28,EURO,
06-02-2023,12,56,JULEE MEGINNES,MARGIE OSPINA,ESPAÑOL,TEAMS,Hamm Studios,BIZUM,21,EURO,
05-02-2023,18,45,ERICK HICKOCK,PASTY KIRSCHKE,ITALIANO,TEAMS,Ospina Pharmaceuticals,TRANSFERENCIA,20,EURO,
19-01-2023,8,48,FRANCIE HODES,PAUL KELCOURSE,ESPAÑOL,DOMICILIO,Tavernier Pharmaceuticals,PAYPAL,28,DOLAR,
13-01-2023,17,50,JANNA DUPERCLAY,MARGIE OSPINA,ESPAÑOL,TEAMS,Esperanza Design,TARJETA,27,EURO,
02-01-2023,19,47,LORIS THIBADEAU,MARGARITO CLELAND,ALEMAN,DOMICILIO,Dietrick Company,EFECTIVO,27,DOLAR,
27-12-2022,11,47,ROSEANNE LANTGEN,MARGO ALLEMOND,FRANCES,ZOOM,Conforto Company,CUPON,21,DOLAR,
15-12-2022,15,53,TIM BLASINGIM,MARGET MUEHL,INGLES,TEAMS,Dulan Group,TRANSFERENCIA,23,EURO,
08-12-2022,14,57,SPRING JESSAMY,MARGO ALLEMOND,FRANCES,ZOOM,Mcgraff Corporation,EFECTIVO,21,DOLAR,
08-12-2022,13,59,BRYANT FOK,MARGARETTE MIZWICKI,INGLES,ZOOM,Pecatoste Company,PAYPAL,22,DOLAR,
30-11-2022,14,45,SPRING JESSAMY,PAULINA KRETLOW,FRANCES,DOMICILIO,Flournay Group,EFECTIVO,20,DOLAR,
